City,Zip Code,Latitude,Longitude,Gender,Senior Citizen,Partner,Dependents,Tenure Months,Phone Service,Multiple Lines,Internet Service,Online Security,Online Backup,Device Protection,Tech Support,Streaming TV,Streaming Movies,Contract,Paperless Billing,Payment Method,Monthly Charges,Total Charges,Churn Value,TotalServices,AvgCost,ContractScore,LoyaltyScore,ChargeDensity,ChargePerTenure,MonthlyToTotal,IsFiber,SecurityServices,StreamingCount,StreamRatio,AutoPay,IsElecCheck,HighRiskFlag,Is_High_Risk_Combo,IsMonthToMonth,LowTenureHighCharge,NoProtection,SeniorAlone,TenureContractRatio,Value_Score,Contract_Risk,Payment_Risk,Spent_Intensity,Tenure_Group
Los Angeles,90032,34.078821,-118.177576,0,0,0,0,17,1,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,1,Mailed check,64.7,1093.1,1,4,12.940000000000001,0,17,60.727777777777774,3.5944444444444446,0.05913536239831826,0,0,2,0.4,0,0,0,0,1,0,1,0,17.0,0.0,2,0,60.727777777777774,Watch(13~24)
Los Angeles,90039,34.110845,-118.259595,1,0,0,1,5,1,No,Fiber optic,No,No,No,No,No,No,Month-to-month,1,Electronic check,69.7,316.9,1,2,23.233333333333334,0,5,52.81666666666666,11.616666666666667,0.21925133689839574,1,0,0,0.0,0,1,1,1,1,0,1,0,5.0,0.0,2,1,52.81666666666666,New(0~12)
Los Angeles,90041,34.137412,-118.207607,1,0,0,1,34,1,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,1,Electronic check,106.35,3549.25,1,7,13.29375,0,34,101.40714285714286,3.0385714285714283,0.02995563692697697,1,2,2,0.25,0,1,1,1,1,0,0,0,34.0,0.018630647414997672,2,1,101.40714285714286,Stable(25~48)
Los Angeles,90042,34.11572,-118.192754,0,0,0,1,11,1,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,1,Bank transfer (automatic),97.85,1105.4,1,6,13.978571428571428,0,11,92.11666666666667,8.154166666666667,0.08843998553868401,1,1,2,0.2857142857142857,1,0,1,1,1,1,0,0,11.0,0.010116337885685382,2,0,92.11666666666667,New(0~12)
Los Angeles,90056,33.987945,-118.370442,0,0,0,1,2,1,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,1,Electronic check,80.65,144.15,1,3,20.1625,0,2,48.050000000000004,26.883333333333336,0.555632104719256,1,0,1,0.25,0,1,1,1,1,1,1,0,2.0,0.0,2,1,48.050000000000004,New(0~12)
Los Angeles,90061,33.92128,-118.274186,0,0,0,1,15,1,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,1,Credit card (automatic),99.1,1426.4,1,6,14.157142857142857,0,15,89.15,6.19375,0.06942693008266777,1,2,2,0.2857142857142857,1,0,0,1,1,0,0,0,15.0,0.01998001998001998,2,0,89.15,Watch(13~24)
Los Angeles,90063,34.044271,-118.185237,0,1,1,1,8,1,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,1,Credit card (automatic),80.65,633.3,1,4,16.130000000000003,0,8,70.36666666666666,8.961111111111112,0.12714803720636925,1,1,0,0.0,1,0,1,1,1,1,0,0,8.0,0.01224739742804654,2,0,70.36666666666666,New(0~12)
Los Angeles,90065,34.108833,-118.229715,1,1,0,1,18,1,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,1,Electronic check,95.45,1752.55,1,5,15.908333333333333,0,18,92.23947368421052,5.023684210526316,0.05443243705625731,1,0,2,0.3333333333333333,0,1,1,1,1,0,1,0,18.0,0.0,2,1,92.23947368421052,Watch(13~24)
Beverly Hills,90211,34.063947,-118.383001,0,0,0,1,9,1,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,0,Electronic check,94.4,857.25,1,5,15.733333333333334,0,9,85.725,9.440000000000001,0.10999126128750365,1,0,2,0.3333333333333333,0,1,1,1,1,1,1,0,9.0,0.0,2,1,85.725,New(0~12)
Huntington Park,90255,33.97803,-118.217141,0,0,0,1,1,1,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,1,Electronic check,79.35,79.35,1,3,19.8375,0,1,39.675,39.675,0.9875544492843809,1,0,1,0.25,0,1,1,1,1,1,1,0,1.0,0.0,2,1,39.675,New(0~12)
Lynwood,90262,33.923573,-118.200669,0,0,1,1,7,1,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,1,Bank transfer (automatic),75.15,496.9,1,3,18.7875,0,7,62.1125,9.39375,0.15093392247439247,1,1,0,0.0,1,0,1,1,1,1,0,0,7.0,0.013131976362442547,2,0,62.1125,New(0~12)
Marina Del Rey,90292,33.977468,-118.445475,0,0,0,1,12,1,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,1,Electronic check,78.95,927.35,1,4,15.790000000000001,0,12,71.33461538461539,6.073076923076924,0.0850433564927021,1,1,0,0.0,0,1,0,1,1,0,1,0,12.0,0.012507817385866166,2,1,71.33461538461539,New(0~12)
Inglewood,90301,33.956445,-118.358634,1,0,0,0,5,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,21.05,113.85,1,1,10.525,0,5,18.974999999999998,3.5083333333333333,0.18328254244666958,0,0,0,0.0,0,0,0,0,1,0,0,0,5.0,0.0,2,0,18.974999999999998,New(0~12)
Inglewood,90303,33.936291,-118.332639,0,1,1,1,25,1,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,1,Electronic check,98.5,2514.5,1,6,14.071428571428571,0,25,96.71153846153847,3.7884615384615383,0.03915722520373683,1,2,2,0.2857142857142857,0,1,1,1,1,0,0,0,25.0,0.020100502512562814,2,1,96.71153846153847,Stable(25~48)
Santa Monica,90403,34.031529,-118.491156,1,0,1,0,68,1,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,1,Bank transfer (automatic),110.0,7611.85,1,8,12.222222222222221,2,204,110.31666666666668,1.5942028985507246,0.014449253564696531,1,3,2,0.2222222222222222,1,0,0,0,0,0,0,0,22.666666666666668,0.02702702702702703,0,0,110.31666666666668,Loyal(49~)
Torrance,90504,33.867257,-118.330794,1,0,1,1,55,1,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,1,Electronic check,96.75,5238.9,1,6,13.821428571428571,0,55,93.55178571428571,1.7276785714285714,0.018464092826198975,1,2,1,0.14285714285714285,0,1,0,1,1,0,0,0,55.0,0.020460358056265986,2,1,93.55178571428571,Loyal(49~)
Whittier,90602,33.972119,-118.020188,0,1,1,1,37,1,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,1,Electronic check,76.5,2868.15,1,3,19.125,0,37,75.47763157894737,2.013157894736842,0.026662948957008173,1,0,0,0.0,0,1,1,1,1,0,1,0,37.0,0.0,2,1,75.47763157894737,Stable(25~48)
Whittier,90606,33.976678,-118.065875,0,0,1,1,10,1,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,1,Electronic check,100.25,1064.65,1,6,14.321428571428571,0,10,96.78636363636365,9.113636363636363,0.09407403931872566,1,1,2,0.2857142857142857,0,1,0,1,1,1,1,0,10.0,0.009876543209876543,2,1,96.78636363636365,New(0~12)
La Habra,90631,33.940619,-117.9513,1,0,0,1,3,1,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,1,Electronic check,74.4,229.55,1,3,18.6,0,3,57.3875,18.6,0.32270657124268054,1,0,0,0.0,0,1,1,1,1,1,1,0,3.0,0.0,2,1,57.3875,New(0~12)
Pico Rivera,90660,33.989524,-118.089299,0,1,0,1,27,1,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,1,Electronic check,78.05,2135.5,1,4,15.61,0,27,76.26785714285714,2.7875,0.03653171074186754,1,1,0,0.0,0,1,1,1,1,0,0,0,27.0,0.012650221378874131,2,1,76.26785714285714,Stable(25~48)
Avalon,90704,33.391181,-118.421305,0,0,1,0,25,0,No phone service,DSL,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,1,Credit card (automatic),58.6,1502.65,1,6,8.371428571428572,0,25,57.79423076923077,2.253846153846154,0.03897183520101087,0,3,2,0.2857142857142857,1,0,0,0,1,0,0,0,25.0,0.050335570469798654,2,0,57.79423076923077,Stable(25~48)
Harbor City,90710,33.798266,-118.300237,1,0,0,0,1,0,No phone service,DSL,No,No,No,No,No,Yes,Month-to-month,1,Electronic check,35.45,35.45,1,2,11.816666666666668,0,1,17.725,17.725,0.9725651577503429,0,0,1,0.3333333333333333,0,1,0,0,1,0,1,0,1.0,0.0,2,1,17.725,New(0~12)
Lakewood,90712,33.840524,-118.148403,1,0,0,0,2,1,No,DSL,No,No,No,No,No,No,Month-to-month,0,Electronic check,44.35,81.25,1,2,14.783333333333333,0,2,27.083333333333332,14.783333333333333,0.539209726443769,0,0,0,0.0,0,1,0,0,1,0,1,0,2.0,0.0,2,1,27.083333333333332,New(0~12)
Los Alamitos,90720,33.79499,-118.065591,0,1,1,1,1,1,No,Fiber optic,No,No,No,No,No,No,Month-to-month,1,Mailed check,70.45,70.45,1,2,23.483333333333334,0,1,35.225,35.225,0.9860041987403779,1,0,0,0.0,0,0,1,1,1,1,1,0,1.0,0.0,2,0,35.225,New(0~12)
San Pedro,90731,33.736387,-118.284363,0,0,0,0,8,1,Yes,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,0,Electronic check,71.15,563.65,1,6,10.164285714285715,0,8,62.62777777777777,7.905555555555556,0.12600726113521651,0,2,1,0.14285714285714285,0,1,0,0,1,1,1,0,8.0,0.02772002772002772,2,1,62.62777777777777,New(0~12)
Carson,90745,33.822295,-118.26411,1,0,0,0,1,1,No,DSL,No,No,No,No,No,No,Month-to-month,1,Electronic check,45.65,45.65,1,2,15.216666666666667,0,1,22.825,22.825,0.9785637727759914,0,0,0,0.0,0,1,0,0,1,0,1,0,1.0,0.0,2,1,22.825,New(0~12)
Long Beach,90804,33.783047,-118.1486,1,0,0,1,7,1,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,0,Mailed check,95.0,655.5,1,5,15.833333333333334,0,7,81.9375,11.875,0.1447067783701447,1,0,2,0.3333333333333333,0,0,1,1,1,1,1,0,7.0,0.0,2,0,81.9375,New(0~12)
Altadena,91001,34.196837,-118.142236,0,0,1,1,20,1,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,0,Electronic check,82.4,1592.35,1,4,16.48,0,20,75.82619047619048,3.923809523809524,0.05171494022029059,1,1,0,0.0,0,1,0,1,1,0,1,0,20.0,0.011990407673860911,2,1,75.82619047619048,Watch(13~24)
Monrovia,91016,34.1528,-118.000482,0,0,0,1,4,1,No,Fiber optic,No,No,No,No,No,No,Month-to-month,1,Bank transfer (automatic),70.9,273.0,1,2,23.633333333333336,0,4,54.6,14.180000000000001,0.2587591240875913,1,0,0,0.0,1,0,1,1,1,1,1,0,4.0,0.0,2,0,54.6,New(0~12)
Sierra Madre,91024,34.168686,-118.057505,1,1,1,0,58,0,No phone service,DSL,No,Yes,Yes,No,No,Yes,Month-to-month,1,Electronic check,45.3,2651.2,1,4,9.059999999999999,0,58,44.93559322033898,0.7677966101694915,0.017080159867279995,0,2,1,0.2,0,1,0,0,1,0,0,0,58.0,0.04319654427645789,2,1,44.93559322033898,Loyal(49~)
Tujunga,91042,34.296574,-118.244839,0,0,1,1,2,1,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,1,Electronic check,104.4,242.8,1,7,13.05,0,2,80.93333333333334,34.800000000000004,0.42821985233798193,1,2,2,0.25,0,1,0,1,1,1,0,0,2.0,0.018975332068311195,2,1,80.93333333333334,New(0~12)
Pasadena,91103,34.167465,-118.165327,0,0,1,0,53,1,No,Fiber optic,No,No,Yes,No,Yes,Yes,One year,1,Bank transfer (automatic),94.85,5000.2,1,5,15.808333333333332,1,106,92.59629629629629,1.7564814814814813,0.01896544829240982,1,1,2,0.3333333333333333,1,0,1,0,0,0,0,0,26.5,0.010432968179447054,1,0,92.59629629629629,Loyal(49~)
Pasadena,91106,34.139402,-118.128658,0,1,0,1,15,1,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,1,Mailed check,74.45,1145.7,1,3,18.6125,0,15,71.60625,4.653125,0.06492543821400541,1,0,0,0.0,0,0,1,1,1,0,1,0,15.0,0.0,2,0,71.60625,Watch(13~24)
Pasadena,91107,34.159007,-118.087353,0,1,0,1,7,1,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,0,Bank transfer (automatic),76.45,503.6,1,3,19.1125,0,7,62.95,9.55625,0.15150614347998415,1,1,0,0.0,1,0,0,1,1,1,1,0,7.0,0.012911555842479019,2,0,62.95,New(0~12)
Glendale,91202,34.167926,-118.267539,0,0,0,0,1,0,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,0,Bank transfer (automatic),29.95,29.95,1,2,9.983333333333333,0,1,14.975,14.975,0.9676898222940226,0,1,0,0.0,1,0,0,0,1,0,0,0,1.0,0.03231017770597738,2,0,14.975,New(0~12)
Glendale,91204,34.136306,-118.26036,1,0,0,1,8,1,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,0,Bank transfer (automatic),84.5,662.65,1,4,16.9,0,8,73.62777777777778,9.38888888888889,0.12732615083251714,1,0,1,0.2,1,0,1,1,1,1,1,0,8.0,0.0,2,0,73.62777777777778,New(0~12)
Glendale,91206,34.162515,-118.203869,0,0,0,1,13,1,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,1,Electronic check,79.25,1111.65,1,4,15.85,0,13,79.40357142857144,5.660714285714286,0.07122635150316811,1,2,0,0.0,0,1,1,1,1,0,0,0,13.0,0.024922118380062305,2,1,79.40357142857144,Watch(13~24)
Glendale,91207,34.182378,-118.262922,0,0,1,0,1,0,No phone service,DSL,No,No,No,No,No,No,Month-to-month,1,Electronic check,24.8,24.8,1,1,12.4,0,1,12.4,12.4,0.9612403100775194,0,0,0,0.0,0,1,0,0,1,0,1,0,1.0,0.0,2,1,12.4,New(0~12)
Canoga Park,91304,34.224377,-118.632656,1,0,1,1,6,1,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,1,Electronic check,91.0,531.0,1,5,15.166666666666666,0,6,75.85714285714286,13.0,0.17105263157894737,1,2,1,0.16666666666666666,0,1,1,1,1,1,0,0,6.0,0.021739130434782608,2,1,75.85714285714286,New(0~12)
Mission Hills,91345,34.266389,-118.459744,1,0,0,1,1,1,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,0,Electronic check,79.9,79.9,1,3,19.975,0,1,39.95,39.95,0.9876390605686032,1,0,1,0.25,0,1,1,1,1,1,1,0,1.0,0.0,2,1,39.95,New(0~12)
Santa Clarita,91350,34.502432,-118.41459,0,0,0,1,19,1,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,1,Electronic check,106.6,1934.45,1,7,13.325,0,19,96.7225,5.33,0.05507763052520085,1,3,2,0.25,0,1,0,1,1,0,0,0,19.0,0.02788104089219331,2,1,96.7225,Watch(13~24)
Sun Valley,91352,34.231053,-118.338307,1,0,0,0,2,1,No,DSL,No,No,No,No,No,No,Month-to-month,1,Credit card (automatic),46.0,84.5,1,2,15.333333333333334,0,2,28.166666666666668,15.333333333333334,0.5380116959064327,0,0,0,0.0,1,0,0,0,1,0,1,0,2.0,0.0,2,0,28.166666666666668,New(0~12)
Stevenson Ranch,91381,34.364153,-118.615583,0,0,0,1,4,1,No,Fiber optic,No,No,No,No,No,No,Month-to-month,1,Electronic check,70.15,268.35,1,2,23.383333333333336,0,4,53.67,14.030000000000001,0.2604418043437906,1,0,0,0.0,0,1,1,1,1,1,1,0,4.0,0.0,2,1,53.67,New(0~12)
Panorama City,91402,34.223768,-118.445461,1,0,1,0,4,1,No,DSL,No,No,No,Yes,No,No,Month-to-month,0,Mailed check,50.05,179.35,1,3,12.5125,0,4,35.87,10.01,0.2775159412253951,0,1,0,0.0,0,0,0,0,1,0,1,0,4.0,0.019588638589618023,2,0,35.87,New(0~12)
Van Nuys,91411,34.17847,-118.459472,0,0,1,0,1,1,No,DSL,No,No,No,No,Yes,No,Month-to-month,0,Mailed check,55.2,55.2,1,3,13.8,0,1,27.6,27.6,0.9822064056939501,0,0,1,0.25,0,0,0,0,1,0,1,0,1.0,0.0,2,0,27.6,New(0~12)
Burbank,91504,34.213049,-118.317651,1,0,0,1,1,1,No,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,1,Mailed check,84.6,84.6,1,4,16.919999999999998,0,1,42.3,42.3,0.9883177570093458,1,1,1,0.2,0,0,0,1,1,1,1,0,1.0,0.011682242990654207,2,0,42.3,New(0~12)
North Hollywood,91601,34.1692,-118.372498,1,0,0,0,2,1,Yes,DSL,No,Yes,No,No,No,No,Month-to-month,1,Mailed check,54.4,114.1,1,4,10.879999999999999,0,2,38.03333333333333,18.133333333333333,0.47263249348392705,0,1,0,0.0,0,0,0,0,1,0,0,0,2.0,0.018050541516245487,2,0,38.03333333333333,New(0~12)
North Hollywood,91605,34.207295,-118.400022,0,1,0,1,11,1,No,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,1,Electronic check,95.0,1120.3,1,5,15.833333333333334,0,11,93.35833333333333,7.916666666666667,0.08472308927138143,1,1,2,0.3333333333333333,0,1,1,1,1,1,0,0,11.0,0.010416666666666666,2,1,93.35833333333333,New(0~12)
Covina,91722,34.097345,-117.906736,1,1,0,0,15,1,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,1,Electronic check,74.4,1074.3,1,3,18.6,0,15,67.14375,4.65,0.0691899934901888,1,1,0,0.0,0,1,1,1,1,0,0,1,15.0,0.01326259946949602,2,1,67.14375,Watch(13~24)
Covina,91723,34.084747,-117.886844,1,0,0,0,1,1,No,DSL,Yes,No,No,No,No,No,Month-to-month,1,Mailed check,48.55,48.55,1,3,12.1375,0,1,24.275,24.275,0.9798183652875883,0,1,0,0.0,0,0,0,0,1,0,1,0,1.0,0.020181634712411706,2,0,24.275,New(0~12)
El Monte,91731,34.079934,-118.046695,0,0,1,0,2,1,No,Fiber optic,No,No,No,No,No,No,Month-to-month,0,Electronic check,70.4,147.15,1,2,23.46666666666667,0,2,49.050000000000004,23.46666666666667,0.4751940600742491,1,0,0,0.0,0,1,1,1,1,1,1,0,2.0,0.0,2,1,49.050000000000004,New(0~12)
El Monte,91732,34.074492,-118.01462,1,1,1,0,1,0,No phone service,DSL,No,Yes,No,No,Yes,No,Month-to-month,0,Electronic check,40.2,40.2,1,3,10.05,0,1,20.1,20.1,0.9757281553398058,0,1,1,0.25,0,1,0,0,1,0,0,0,1.0,0.024271844660194174,2,1,20.1,New(0~12)
La Puente,91744,34.031441,-117.936436,0,0,1,0,2,1,No,DSL,No,No,No,No,No,No,Month-to-month,1,Credit card (automatic),44.6,80.55,1,2,14.866666666666667,0,2,26.849999999999998,14.866666666666667,0.5469037400367873,0,0,0,0.0,1,0,0,0,1,0,1,0,2.0,0.0,2,0,26.849999999999998,New(0~12)
La Puente,91746,34.038983,-117.991372,1,1,0,0,3,0,No phone service,DSL,No,No,Yes,No,No,Yes,Month-to-month,1,Electronic check,41.15,132.2,1,3,10.2875,0,3,33.05,10.2875,0.3089339339339339,0,1,1,0.25,0,1,0,0,1,0,0,1,3.0,0.02372479240806643,2,1,33.05,New(0~12)
Rowland Heights,91748,33.976753,-117.897367,1,1,0,0,13,1,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,1,Electronic check,106.9,1364.3,1,7,13.3625,0,13,97.45,7.635714285714286,0.07829781000512709,1,2,2,0.25,0,1,1,1,1,0,0,1,13.0,0.018535681186283594,2,1,97.45,Watch(13~24)
Ontario,91762,34.057256,-117.667677,1,0,0,0,59,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Mailed check,19.35,1099.6,1,1,9.675,2,177,18.326666666666664,0.3225,0.017581319280392516,0,0,0,0.0,0,0,0,0,0,0,0,0,19.666666666666668,0.0,0,0,18.326666666666664,Loyal(49~)
Ontario,91764,34.074087,-117.605618,0,1,0,0,16,1,No,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,1,Electronic check,94.45,1511.2,1,5,15.741666666666667,0,16,88.89411764705882,5.555882352941176,0.06245866948816294,1,1,2,0.3333333333333333,0,1,0,1,1,0,1,1,16.0,0.010476689366160294,2,1,88.89411764705882,Watch(13~24)
Pomona,91766,34.042286,-117.756106,1,0,0,0,1,0,No phone service,DSL,No,No,No,No,No,No,Month-to-month,0,Bank transfer (automatic),24.8,24.8,1,1,12.4,0,1,12.4,12.4,0.9612403100775194,0,0,0,0.0,1,0,0,0,1,0,1,0,1.0,0.0,2,0,12.4,New(0~12)
Pomona,91768,34.067932,-117.785168,1,0,0,0,1,1,No,Fiber optic,No,No,No,No,No,No,Month-to-month,0,Mailed check,70.6,70.6,1,2,23.53333333333333,0,1,35.3,35.3,0.9860335195530726,1,0,0,0.0,0,0,1,1,1,1,1,0,1.0,0.0,2,0,35.3,New(0~12)
Rosemead,91770,34.065108,-118.082791,1,0,1,0,5,1,Yes,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,1,Electronic check,85.4,401.1,1,5,14.233333333333334,0,5,66.85000000000001,14.233333333333334,0.21238497886097985,1,2,0,0.0,0,1,0,1,1,1,0,0,5.0,0.023148148148148147,2,1,66.85000000000001,New(0~12)
San Dimas,91773,34.102119,-117.815532,0,0,1,0,52,1,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,1,Electronic check,105.05,5624.85,1,7,13.13125,0,52,106.12924528301888,1.982075471698113,0.018672733897988746,1,2,2,0.25,0,1,1,1,1,0,0,0,52.0,0.01885902876001886,2,1,106.12924528301888,Loyal(49~)
West Covina,91791,34.061634,-117.893169,1,0,1,0,18,1,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,0,Mailed check,95.15,1779.95,1,5,15.858333333333334,0,18,93.68157894736842,5.007894736842106,0.0534265420140936,1,1,2,0.3333333333333333,0,0,1,1,1,0,0,0,18.0,0.010400416016640665,2,0,93.68157894736842,Watch(13~24)
Alhambra,91803,34.074736,-118.145959,1,0,1,0,1,1,No,Fiber optic,No,No,No,No,No,No,Month-to-month,0,Electronic check,70.0,70.0,1,2,23.333333333333332,0,1,35.0,35.0,0.9859154929577465,1,0,0,0.0,0,1,1,1,1,0,1,0,1.0,0.0,2,1,35.0,New(0~12)
Alpine,91901,32.827184,-116.703729,1,1,0,0,8,1,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,1,Electronic check,74.5,606.55,1,3,18.625,0,8,67.39444444444445,8.277777777777779,0.1226236523742902,1,1,0,0.0,0,1,1,1,1,1,0,1,8.0,0.013245033112582781,2,1,67.39444444444445,New(0~12)
Bonita,91902,32.67117,-117.00232,1,0,0,0,10,1,No,DSL,No,No,No,No,No,No,Month-to-month,1,Credit card (automatic),44.85,435.4,1,2,14.950000000000001,0,10,39.58181818181818,4.077272727272727,0.10277268560953255,0,0,0,0.0,1,0,0,0,1,0,1,0,10.0,0.0,2,0,39.58181818181818,New(0~12)
Boulevard,91905,32.677097,-116.304991,1,1,0,0,24,1,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,1,Electronic check,76.1,1712.7,1,3,19.025,0,24,68.508,3.0439999999999996,0.044406839003326135,1,0,0,0.0,0,1,1,1,1,0,1,1,24.0,0.0,2,1,68.508,Watch(13~24)
